estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
4681666,2291880,2389786,306963,305789,317199,315906,320789,671108,583366,587387,314579,284401,403859,193434,76886,36.5,3564385,3365041,834371,674179,3564385,1719143,1845242,674179,294468,379711,4681666,4588917,92749,4588917,2901495,1514755,25508,N,N,N,N,77921,9329,13751,7813,2749,2616,29507,12156,1030,426,336,0,268,68208,92749,32770,24896,11400,3447,4681666,2984864,1563466,63061,93530,2995,76949,4681666,231168,94345,14868,9558,112397,4450498,2754601,1502898,24319,77518,562,7665,82935,2328,80607,2037067,3466716,1666194,1800522,0400000US22,Louisiana,2016,22
1331479,650702,680777,63941,74853,68957,82094,75065,157452,151647,191625,109241,99952,151780,69676,35196,44.5,1076528,1024854,313413,256652,1076528,520512,556016,256652,116423,140229,1331479,1305139,26340,1305139,1257120,19963,7893,N,N,N,N,17499,1883,5820,2606,531,1163,1611,3885,214,N,N,N,N,2450,26340,5433,12380,5142,102,1331479,1282395,26592,21517,23732,1668,3256,1331479,20714,5117,5363,1260,8974,1310765,1243607,17963,7130,17499,214,900,23452,265,23187,730786,1056891,511896,544995,0400000US23,Maine,2016,23
6016447,2917773,3098674,362895,376707,374531,385317,394489,832284,765502,854684,421724,371866,518401,247593,110454,38.5,4670295,4441566,1094990,876448,4670295,2228185,2442110,876448,378312,498136,6016447,5815406,201041,5815406,3397255,1793593,15234,2728,434,180,123,376518,96685,85000,42758,8758,51068,34103,58146,2480,734,594,322,830,230326,201041,67328,15865,50182,12450,6016447,3557526,1903321,58850,449268,11852,254887,6016447,586730,94869,50543,14880,426438,5429717,3092525,1765641,12217,374779,2101,15752,166702,5944,160758,2447211,4260093,2021014,2239079,0400000US24,Maryland,2016,24
6811779,3305817,3505962,359774,364085,404687,459893,495825,950957,826713,960054,481240,434126,612922,307411,154092,39.5,5432832,5114534,1330016,1074425,5432832,2601274,2831558,1074425,463436,610989,6811779,6599414,212365,6599414,5350175,506677,12547,619,578,383,0,440845,100695,159379,14808,9793,21040,55169,79961,3758,1226,671,478,1383,285412,212365,93694,18638,42365,4069,6811779,5536798,627509,46254,500157,11125,318688,6811779,779696,51118,319042,11209,398327,6032083,4928862,456681,8154,438614,3006,59495,137271,10523,126748,2858087,4948041,2355624,2592417,0400000US25,Massachusetts,2016,25
9928300,4883220,5045080,571663,599374,618799,672620,705442,1248301,1158269,1349140,729622,666005,940210,458117,210738,39.7,7737117,7318641,1996629,1609065,7737117,3763553,3973564,1609065,715138,893927,9928300,9622080,306220,9622080,7793481,1363336,51161,3389,21322,205,188,292514,102706,60637,22466,12177,24162,17586,52780,2967,1352,640,366,609,118621,306220,107431,68745,55360,16461,9928300,8068217,1514424,157645,362199,9838,148293,9928300,491430,361630,45826,12783,71191,9436870,7474930,1347079,42919,291323,2462,15319,262838,6589,256249,4560164,7453953,3616641,3837312,0400000US26,Michigan,2016,26
5519952,2747946,2772006,351080,367625,354541,356368,365055,744809,680392,727552,392973,349222,471206,237811,121318,37.9,4231329,4014824,1035289,830335,4231329,2087052,2144277,830335,373937,456398,5519952,5363306,156646,5363306,4596566,331308,63229,166,40191,161,5955,258899,41620,31632,13562,4918,17023,32163,117981,1452,474,399,106,473,111852,156646,51252,30632,38810,4164,5519952,4738455,399885,106393,310723,6487,127686,5519952,288460,198322,13257,4289,72592,5231492,4444184,325256,57795,257673,1255,7324,138005,3183,134822,2409701,4036966,1986327,2050639,0400000US27,Minnesota,2016,27
2988726,1440934,1547792,186830,205379,208359,219814,211322,378612,374600,375436,195279,183461,270109,128542,50983,37.2,2265573,2121473,559944,449634,2265573,1075388,1190185,449634,195265,254369,2988726,2954874,33852,2954874,1748734,1134958,13260,N,N,N,N,26708,3917,5214,5476,1715,1520,5674,3192,631,N,N,N,N,30583,33852,12855,7490,4615,2520,2988726,1778264,1153632,24589,33524,2039,33014,2988726,86733,53333,9405,2093,21902,2901993,1698241,1131449,12939,26685,631,2529,29519,672,28847,1307492,2233124,1058809,1174315,0400000US28,Mississippi,2016,28
6093000,2994651,3098349,371532,383413,394332,416251,406458,799577,737255,792112,434237,380854,560897,289682,126400,38.4,4702936,4441253,1194302,976979,4702936,2280183,2422753,976979,430358,546621,6093000,5942900,150100,5942900,5011507,702946,30888,10274,521,654,519,117335,27981,29469,11756,2897,8065,19074,18093,9193,1739,1884,683,4887,71031,150100,57760,38127,25112,3861,6093000,5150148,777140,80414,151203,13108,81542,6093000,243567,167241,13955,6614,55757,5849433,4852074,698734,27492,116024,7521,10479,137109,2435,134674,2760226,4584987,2219774,2365213,0400000US29,Missouri,2016,29
1042520,526023,516497,61143,63475,65609,65750,73927,126836,120268,127833,77803,75995,109577,52382,21922,40.1,813846,771118,229187,183881,813846,406644,407202,183881,87767,96114,1042520,1010302,32218,1010302,927374,3949,66231,591,3765,338,4605,8432,388,2514,1986,880,717,829,1118,578,N,N,N,N,3738,32218,4130,19408,3511,318,1042520,957640,9759,87763,14044,2254,5395,1042520,37090,26618,2409,948,7115,1005430,900884,3439,62998,8326,547,574,28662,322,28340,497749,804235,401606,402629,0400000US30,Montana,2016,30
1907116,950124,956992,132157,132707,132814,130421,135197,255384,233281,228611,123171,118083,158782,84903,41605,36.3,1433031,1348401,352584,285290,1433031,708362,724669,285290,127682,157608,1907116,1861730,45386,1861730,1674863,89879,15865,732,163,71,4602,41548,6525,7325,2094,1487,2978,6318,14821,1227,735,299,33,160,38348,45386,15892,8782,10045,2044,1907116,1715506,111022,29023,54283,3794,42165,1907116,202449,144895,3547,6991,47016,1704667,1519945,87110,13963,41133,1200,1719,39597,530,39067,827191,1354457,665331,689126,0400000US31,Nebraska,2016,31
2940058,1473153,1466905,183361,189607,190840,179975,185665,424305,390373,391041,186877,176253,275928,126239,39594,37.9,2262556,2156680,542667,441761,2262556,1126972,1135584,441761,208138,233623,2940058,2800856,139202,2800856,1966690,260993,34267,1823,854,2349,1135,244373,12464,38018,126649,12961,13865,12180,28236,20240,7737,4700,5473,2330,274293,139202,28846,18251,35430,2868,2940058,2077679,306810,63485,305678,40951,299543,2940058,836626,632668,26995,31067,145896,2103432,1463596,249544,26593,240323,18016,6566,98794,2009,96785,1221759,1976423,988330,988093,0400000US32,Nevada,2016,32
1334795,664722,670073,64478,74122,72489,87485,88635,160594,152488,202258,110308,95006,135174,61956,29802,42.7,1074954,1016615,282551,226932,1074954,529482,545472,226932,103323,123609,1334795,1306078,28717,1306078,1247155,16671,1450,N,N,N,N,32679,7493,6589,2602,1156,2399,2619,9821,66,N,N,N,N,8057,28717,8021,7142,8556,334,1334795,1274258,26478,10205,42487,639,10887,1334795,47271,9917,15517,1891,19946,1287524,1211076,15837,1336,32455,66,1645,25109,712,24397,625337,1043880,512996,530884,0400000US33,New Hampshire,2016,33
8944469,4370211,4574258,520170,550741,559949,571917,570520,1157062,1151388,1294506,643214,552847,781146,392236,198773,39.5,6960030,6628931,1685400,1372155,6960030,3355381,3604649,1372155,587005,785150,8944469,8707143,237326,8707143,6090908,1194585,20185,N,N,N,N,854181,375563,166587,120171,14625,91324,19153,66758,3754,1874,422,717,741,543530,237326,72552,16369,49642,6616,8944469,6278080,1315079,59227,935236,11348,606064,8944469,1786669,245145,470143,85935,985446,7157800,4966755,1130491,8810,849117,2840,40991,158796,17785,141011,3604688,6127545,2941836,3185709,0400000US34,New Jersey,2016,34
2081015,1030224,1050791,125126,138035,141195,144423,140855,276979,249353,249585,139921,133482,202780,100547,38734,37.7,1591501,1504479,420921,342061,1591501,780393,811108,342061,156095,185966,2081015,2015110,65905,2015110,1539634,41043,194133,948,429,113649,1391,32346,6123,5349,8083,1568,1254,5671,4298,1428,N,N,N,N,206526,65905,7799,16119,9641,1589,2081015,1594339,55675,220136,46208,2977,232503,2081015,1009876,651681,8677,4460,345058,1071139,787250,37782,178176,30149,1077,4299,32406,2647,29759,917641,1481858,724398,757460,0400000US35,New Mexico,2016,35
